timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker
1540168015.873,-203.613,49.316,9.766,-90.820,13.672,0
1540168015.877,-183.594,48.828,8.789,-72.266,19.043,0
1540168015.881,-160.645,45.898,10.742,-61.035,32.715,0
1540168015.885,-147.949,42.969,14.160,-57.617,-7.812,0
1540168015.889,-131.348,40.527,15.625,-45.410,32.715,0
1540168015.893,-119.629,33.203,20.020,-35.156,64.941,0
1540168015.897,-116.211,33.203,22.461,-27.344,31.738,0
1540168015.901,-111.328,32.227,21.973,-22.461,56.641,0
1540168015.905,-111.328,26.855,21.484,-21.484,43.457,0
1540168015.909,-114.258,25.879,18.066,-12.695,-27.832,0
1540168015.913,-106.445,25.879,14.160,-4.395,-20.020,0
1540168015.916,-102.539,22.461,22.461,0.977,70.312,0
1540168015.920,-90.820,25.391,30.762,10.254,106.445,0
1540168015.924,-76.172,26.855,27.832,20.996,32.227,0
1540168015.928,-75.195,21.973,27.344,20.508,1.953,0
1540168015.932,-75.195,17.578,28.320,15.137,53.223,0
1540168015.936,-67.871,12.695,30.273,26.855,59.082,0
1540168015.940,-64.941,12.207,28.320,34.180,20.508,0
1540168015.944,-68.359,15.137,26.367,32.715,34.180,0
1540168015.948,-73.242,16.113,24.902,32.715,43.945,0
1540168015.952,-77.637,13.672,25.391,29.785,-6.836,0
1540168015.955,-85.938,13.184,28.320,33.691,-31.738,0
1540168015.959,-96.191,16.113,29.785,40.039,-3.418,0
1540168015.963,-98.633,17.578,29.297,41.504,16.602,0
1540168015.967,-86.426,16.602,28.809,46.875,6.836,0
1540168015.971,-76.660,13.672,27.832,41.992,-19.531,0
1540168015.975,-87.402,16.602,32.715,39.551,18.555,0
1540168015.979,-90.820,16.113,35.156,40.039,79.102,0
1540168015.983,-82.031,11.719,28.809,38.574,50.293,0
1540168015.987,-82.520,15.137,29.297,40.527,50.781,0
1540168015.991,-92.773,15.625,31.738,38.086,12.695,0
1540168015.995,-96.191,16.113,30.273,47.363,8.301,0
1540168015.998,-92.773,16.602,30.762,52.246,51.270,0
1540168016.002,-81.055,13.672,32.227,47.363,83.496,0
1540168016.006,-77.148,15.137,32.227,42.969,54.688,0
1540168016.010,-79.590,18.066,32.227,43.945,-12.207,0
1540168016.014,-78.125,16.113,27.832,50.293,7.324,0
1540168016.018,-81.543,12.695,28.320,51.270,31.250,0
1540168016.022,-74.707,13.672,29.785,52.246,52.734,0
1540168016.026,-70.312,14.648,19.531,57.617,33.203,0
1540168016.030,-75.195,16.602,23.438,63.477,24.414,0
1540168016.034,-71.289,21.484,35.645,60.059,-3.418,0
1540168016.038,-67.871,13.672,30.762,43.945,-42.969,0
1540168016.041,-67.383,16.602,31.250,53.711,7.812,0
1540168016.045,-73.730,19.043,34.180,60.059,54.688,0
